nama_produk,harga_produk,nama_penjual,kota_toko,total_terjual,rating,jabodetabek
CUANKI/CUANKIE SIOMAY SPECIAL KHAS GARUT ISI 50 PCS BASO ACI & SEBLAK,17999,ArfaOnlineShop,Tangerang,18,5.0,True
[TERMURAH!!] Seblak Instant Basranger Extra Pedas 200gram,13790,duniacemilan,Bandung,100,4.9,False
cuanki/cuankie lidah isi 100 pcs baso Aci/boci/seblak,32999,ArfaOnlineShop,Tangerang,60,4.9,True
Siomay mini 250 gram gurilem murah toping seblak boci,8000,CuankiCulametan,Kab. Garut,100,4.9,False
SEBLAK KERING PEDAS DAUN JERUK,4500,BociKakang,Jakarta Selatan,750,4.6,True
Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,31500,CuankiCulametan,Kab. Garut,40,4.6,False
cuanki siomay mini gurilem 1 ons toping seblak baso aci,3000,CuankiCulametan,Kab. Garut,60,4.9,False
Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah Siomay dan Baso T,77280,Onesupp Acc,Jakarta Barat,6,5.0,True
Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,60000,Lidigeli,Kab. Garut,24,4.2,False
Kerupuk Seblak Kering Sebring Pedas Daun Jeruk 100gr,4500,Pedas Gilaa,Surabaya,500,4.9,False
Kerupuk Seblak | Cemilan Pedas | Cemilan Kering 150gr,9256,vieka mart official,Tangerang Selatan,30,4.9,True
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",42500,gaiagarut,Kab. Garut,250,4.8,False
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll,11000,Distributor-Jaya,Tangerang,100,4.9,True
Seblak Geprek,19000,kappa center,Tangerang,20,5.0,True
Siomay Cuankie Kering Cuangki Baso Bakso Aci Seblak,8000,Celikafood,Bandung,60,4.9,False
Seblak Mercon Komplit Khas Tasik 150gr,9500,Al Dien Mart,Tangerang,21,4.6,True
Nyemil Saji - Seblak Instan Siap Saji,16365,Nyemil Saji Jepara,Kab. Sleman,23,4.9,False
MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,15000,Lidigeli,Kab. Garut,100,4.9,False
KERUPUK MENTAH KERUPUK SEBLAK MENTAH 500 GR - Mawar Warna,12500,BociKakang,Jakarta Selatan,100,4.9,True
Seblak Ceker pedas daun jeruk 250 gram,13000,Markas Makaroni,Kab. Bekasi,60,4.9,True
Seblak Stik 250gram,10000,Hosana Snack,Bogor,250,4.9,True
kerupuk seblak bantet kering 1kg (matang),46000,arsensnack,Kab. Bekasi,6,5.0,True
Kerupuk Seblak Mawar Kriwil Pedas 60gr ANABA,2881,Siaga Lapak,Malang,16,5.0,False
Seblak Mommy Instan Rasa Original Kemasan Cup,11550,Beuki Mart,Bandung,14,5.0,False
